n,m,grau_medio,C,algoritmo,repeticao,tempo_ms
64000,256000,8,1000,Dijkstra Normal,2,12182.753483
64000,256000,8,1000,Dijkstra Heap Minimo,2,28.750403
64000,256000,8,1000,Dijkstra Bucket,2,7.157025
64000,256000,8,1000,Dijkstra Normal,3,12224.656386
64000,256000,8,1000,Dijkstra Heap Minimo,3,28.392878
64000,256000,8,1000,Dijkstra Bucket,3,7.542040
64000,256000,8,1000,Dijkstra Normal,4,12322.273510
64000,256000,8,1000,Dijkstra Heap Minimo,4,28.319750
64000,256000,8,1000,Dijkstra Bucket,4,7.104598
64000,256000,8,1000,Dijkstra Normal,5,12138.343010
64000,256000,8,1000,Dijkstra Heap Minimo,5,28.895078
64000,256000,8,1000,Dijkstra Bucket,5,7.925658
